Estado,Municipio,Parroquia,Chavez,Radonski,Sequera,Bolivar,Reyes,Chirino,Valid,Invalid,Total
Aragua,Santiago Mariño,Chuao,769,117,3,0,1,0,890,10,900
Aragua,Santiago Mariño,Saman De Guere,25117,14949,203,16,25,8,40318,930,41248
Aragua,Santiago Mariño,Turmero,14192,19011,126,26,22,10,33387,419,33806
Aragua,Santos Michelena,Las Tejerias,13141,3721,51,4,9,8,16934,434,17368
Aragua,Santos Michelena,Tiara,1800,451,9,1,1,0,2262,102,2364
Aragua,Sucre,Bella Vista,3755,1283,17,3,6,2,5066,145,5211
Aragua,Sucre,Cagua,33000,29883,311,46,23,17,63280,1253,64533
Aragua,Tovar,Colonia Tovar,5058,4401,40,4,9,7,9519,238,9757
Aragua,Urdaneta,Barbacoas,4826,2048,32,4,4,0,6914,231,7145
Aragua,Urdaneta,Las Penitas,937,379,5,1,1,1,1324,47,1371
Aragua,Urdaneta,San Francisco De Cara,1099,466,4,0,0,0,1569,41,1610
Aragua,Urdaneta,Taguay,1988,678,19,2,1,1,2689,67,2756
Aragua,Zamora,Magdaleno,7280,2657,59,3,10,3,10012,294,10306
Aragua,Zamora,Pq Augusto Mijares,2797,784,22,1,1,0,3605,113,3718
Aragua,Zamora,San Francisco De Asis,7388,3675,60,6,5,3,11137,280,11417
Aragua,Zamora,Valles De Tucutunemo,3955,727,32,3,6,5,4728,156,4884
Aragua,Zamora,Villa De Cura,30692,14661,250,25,47,17,45692,921,46613
Barinas,A Jose De Sucre,Andres Bello,1839,1432,14,0,2,2,3289,75,3364
Barinas,A Jose De Sucre,Nicolas Pulido,2611,1367,23,0,2,2,4005,82,4087
Barinas,A Jose De Sucre,Ticoporo,15171,13182,145,6,20,7,28531,659,29190
Barinas,Alberto Arvelo T,Rodriguez Dominguez,3875,800,22,0,4,1,4702,73,4775
Barinas,Alberto Arvelo T,Sabaneta,14025,3164,81,6,3,1,17280,399,17679
Barinas,Andres E Blanco,El Canton,2659,1656,17,2,1,1,4336,66,4402
Barinas,Andres E Blanco,Puerto Vivas,1422,705,10,1,0,0,2138,53,2191
Barinas,Andres E Blanco,Santa Cruz De Guacas,1446,1042,24,0,1,0,2513,48,2561
Barinas,Arismendi,Arismendi,3528,1383,35,0,7,2,4955,119,5074
Barinas,Arismendi,Guadarrama,962,244,7,0,1,0,1214,27,1241
Barinas,Arismendi,La Union,2359,979,9,0,2,2,3351,53,3404
Barinas,Arismendi,San Antonio,1405,719,13,2,0,0,2139,46,2185
Barinas,Barinas,Alfredo A Larriva,2537,1627,17,1,3,0,4185,82,4267
Barinas,Barinas,Alto Barinas,13495,15749,122,14,16,3,29399,520,29919
Barinas,Barinas,Barinas,3825,5689,50,3,5,2,9574,195,9769
Barinas,Barinas,Corazon De Jesus,17541,12240,171,16,15,17,30000,635,30635
Barinas,Barinas,Dominga Ortiz P,2466,1412,14,0,1,0,3893,113,4006
Barinas,Barinas,El Carmen,13955,15970,144,10,9,8,30096,635,30731
Barinas,Barinas,Juan A Rodriguez D,1217,764,5,0,2,0,1988,78,2066
Barinas,Barinas,Manuel P Fajardo,2618,1784,13,0,5,0,4420,128,4548
Barinas,Barinas,Ramon I Mendez,18423,11149,167,5,17,7,29768,797,30565
Barinas,Barinas,Romulo Betancourt,13258,10261,144,13,11,2,23689,454,24143
Barinas,Barinas,San Silvestre,3030,1291,29,1,1,1,4353,95,4448
Barinas,Barinas,Santa Ines,1262,581,7,0,0,0,1850,32,1882
Barinas,Barinas,Santa Lucia,1674,1067,19,0,2,0,2762,96,2858
Barinas,Barinas,Torunos,1490,864,4,0,0,0,2358,65,2423
Barinas,Bolivar,Altamira,1422,608,11,1,1,1,2044,34,2078
Barinas,Bolivar,Barinitas,13259,9780,114,8,10,5,23176,485,23661
Barinas,Bolivar,Calderas,2435,1126,16,0,2,1,3580,53,3633
Barinas,Cruz Paredes,Barrancas,8659,2916,67,1,4,2,11649,229,11878
Barinas,Cruz Paredes,El Socorro,1544,750,17,0,3,0,2314,55,2369
Barinas,Cruz Paredes,Masparrito,228,67,1,0,0,1,297,3,300
Barinas,Ezequiel Zamora,Jose Ignacio Del Pumar,994,900,5,1,1,0,1901,63,1964
Barinas,Ezequiel Zamora,Pedro Briceno Mendez,1445,1555,12,1,2,0,3015,81,3096
Barinas,Ezequiel Zamora,Ramon Ignacio Mendez,1015,977,4,1,0,1,1998,44,2042
Barinas,Ezequiel Zamora,Santa Barbara,10598,9341,101,1,16,3,20060,439,20499
Barinas,Obispos,El Real,1513,367,8,0,1,1,1890,25,1915
Barinas,Obispos,La Luz,2717,939,26,1,4,1,3688,51,3739
Barinas,Obispos,Los Guasimitos,2979,1658,32,3,2,1,4675,104,4779
Barinas,Obispos,Obispos,5948,2938,69,1,8,0,8964,185,9149
Barinas,Pedraza,Ciudad Bolivia,11913,10661,90,1,19,2,22686,500,23186
Barinas,Pedraza,Ignacio Briceno,917,949,7,0,1,0,1874,33,1907
Barinas,Pedraza,Jose Felix Ribas,2770,1437,14,1,1,2,4225,98,4323
Barinas,Pedraza,Paez,2100,1292,30,0,6,0,3428,103,3531
Barinas,Rojas,Dolores,2583,1308,23,0,4,0,3918,89,4007
Barinas,Rojas,Libertad,4198,1869,47,1,0,1,6116,143,6259
Barinas,Rojas,Palacio Fajardo,4266,894,22,0,3,1,5186,72,5258
Barinas,Rojas,Santa Rosa,3867,1327,29,1,4,2,5230,87,5317
Barinas,Sosa,Ciudad De Nutrias,4422,2461,34,1,1,0,6919,156,7075
Barinas,Sosa,El Regalo,2156,1193,16,0,2,0,3367,51,3418
Barinas,Sosa,Puerto De Nutrias,1026,424,5,1,1,0,1457,30,1487
Barinas,Sosa,Santa Catalina,551,277,6,0,0,0,834,14,848
Bolivar,Blvno Angostura,Barceloneta,2956,2040,35,1,10,6,5048,116,5164
Bolivar,Blvno Angostura,Ciudad Piar,4399,4260,55,4,5,1,8724,147,8871
Bolivar,Blvno Angostura,San Francisco,2438,1166,22,0,5,1,3632,101,3733
Bolivar,Blvno Angostura,Santa Barbara,844,598,11,1,0,1,1455,50,1505
Bolivar,Caroni,Cachamay,9780,22249,116,21,12,5,32183,399,32582
Bolivar,Caroni,Chirica,30920,12922,369,15,24,11,44261,914,45175
Bolivar,Caroni,Dalla Costa,26882,15676,303,16,30,7,42914,827,43741
Bolivar,Caroni,Once De Abril,29120,12230,340,10,30,12,41742,932,42674
Bolivar,Caroni,Pozo Verde,6072,1750,50,3,11,8,7894,216,8110
Bolivar,Caroni,Simon Bolivar,25390,22093,345,23,26,18,47895,929,48824
Bolivar,Caroni,Unare,37100,39198,410,55,44,15,76822,1108,77930
Bolivar,Caroni,Universidad,7412,25225,99,12,11,4,32763,329,33092
Bolivar,Caroni,Vista Al Sol,24986,8790,265,11,24,12,34088,820,34908
Bolivar,Caroni,Yocoima,4392,1583,49,2,7,5,6038,129,6167
Bolivar,Cedeño,Altagracia,757,123,0,0,0,0,880,39,919
Bolivar,Cedeño,Ascension Farreras,2717,1075,22,1,3,0,3818,85,3903
