Estado,Municipio,Parroquia,Hugo Chavez,Henrique Capriles Radonski,Reina Sequera,Maria Bolivar,Luis Reyes,Orlando Chirino,Valid votes,Null votes
Apure,Romulo Gallegos,Elorza,7310,3026,59,0,9,2,10406,211
Apure,San Fernando,Penalver,3307,1029,5,2,1,0,4344,41
Apure,San Fernando,San Fernando,38810,24638,365,21,45,11,63890,1395
Apure,San Fernando,Sn Rafael De Atamaica,2638,1194,20,0,2,2,3856,34
Apure,Biruaca,Biruaca,19146,9408,147,7,10,4,28722,630
Aragua,Girardot,Choroni,1980,861,16,0,1,1,2859,51
Aragua,Girardot,Las Delicias,15050,19046,146,26,25,8,34301,564
Aragua,Girardot,Madre Ma De San Jose,14489,29934,134,25,18,9,44609,525
Aragua,Girardot,Pedro Jose Ovalles,22308,13264,175,25,31,9,35812,635
Aragua,Girardot,Andres Eloy Blanco,17155,19357,153,22,20,11,36718,492
Aragua,Girardot,Los Tacariguas,29475,15776,219,27,20,21,45538,827
Aragua,Santiago Mari#O,Turmero,14192,19011,126,26,22,10,33387,419
Aragua,Santiago Mari#O,Saman De Guere,25117,14949,203,16,25,8,40318,930
Aragua,Santiago Mari#O,Arevalo Aponte,14246,4487,91,10,11,5,18850,424
Aragua,Santiago Mari#O,Chuao,769,117,3,0,1,0,890,10
Aragua,Santiago Mari#O,Alfredo Pacheco M,7899,3750,69,11,5,3,11737,230
Aragua,Jose Felix Rivas,Zuata,11870,2921,72,6,8,3,14880,334
Aragua,Jose Felix Rivas,Castor Nieves Rios,14069,14334,118,23,12,2,28558,542
Aragua,Jose Felix Rivas,Pao De Zarate,1466,329,6,2,3,1,1807,33
Aragua,San Casimiro,San Casimiro,7960,3793,42,4,8,4,11811,324
Aragua,San Casimiro,Valle Morin,670,268,10,2,0,1,951,21
Aragua,San Casimiro,Ollas De Caramacate,551,137,6,0,1,0,695,14
Aragua,San Casimiro,Guiripa,869,330,2,0,2,0,1203,32
Aragua,San Sebastian,San Sebastian,8062,4849,39,5,11,3,12969,244
Aragua,Sucre,Bella Vista,3755,1283,17,3,6,2,5066,145
Aragua,Sucre,Cagua,33000,29883,311,46,23,17,63280,1253
Aragua,Urdaneta,San Francisco De Cara,1099,466,4,0,0,0,1569,41
Aragua,Urdaneta,Taguay,1988,678,19,2,1,1,2689,67
Aragua,Urdaneta,Las Penitas,937,379,5,1,1,1,1324,47
Aragua,Zamora,Magdaleno,7280,2657,59,3,10,3,10012,294
Aragua,Zamora,San Francisco De Asis,7388,3675,60,6,5,3,11137,280
Aragua,Zamora,Villa De Cura,30692,14661,250,25,47,17,45692,921
Aragua,Zamora,Valles De Tucutunemo,3955,727,32,3,6,5,4728,156
Aragua,Zamora,Pq Augusto Mijares,2797,784,22,1,1,0,3605,113
Aragua,Libertador,Palo Negro,12429,6991,96,18,7,3,19544,373
Aragua,Libertador,San Martin De Porres,19970,9666,145,21,24,7,29833,624
Aragua,Jose Angel Lamas,Santa Cruz,11485,7445,94,9,15,4,19052,302
Aragua,Bolivar,San Mateo,16390,6404,103,6,13,4,22920,746
Aragua,Santos Michelena,Las Tejerias,13141,3721,51,4,9,8,16934,434
Aragua,Tovar,Colonia Tovar,5058,4401,40,4,9,7,9519,238
Aragua,Camatagua,Carmen De Cura,1456,906,14,0,1,0,2377,77
Aragua,Jose R Revenga,El Consejo,19022,6369,104,12,22,12,25541,528
Aragua,Francisco Linares,Santa Rita,31170,13021,231,31,39,6,44498,1018
Aragua,Francisco Linares,Mons Feliciano G,6875,1967,47,5,3,0,8897,142
Barinas,Arismendi,Arismendi,3528,1383,35,0,7,2,4955,119
Barinas,Arismendi,La Union,2359,979,9,0,2,2,3351,53
Barinas,Arismendi,Guadarrama,962,244,7,0,1,0,1214,27
Barinas,Barinas,Alfredo A Larriva,2537,1627,17,1,3,0,4185,82
Barinas,Barinas,San Silvestre,3030,1291,29,1,1,1,4353,95
Barinas,Barinas,Santa Ines,1262,581,7,0,0,0,1850,32
Barinas,Barinas,Santa Lucia,1674,1067,19,0,2,0,2762,96
Barinas,Barinas,Torunos,1490,864,4,0,0,0,2358,65
Barinas,Barinas,Romulo Betancourt,13258,10261,144,13,11,2,23689,454
Barinas,Barinas,El Carmen,13955,15970,144,10,9,8,30096,635
Barinas,Barinas,Alto Barinas,13495,15749,122,14,16,3,29399,520
Barinas,Barinas,Juan A Rodriguez D,1217,764,5,0,2,0,1988,78
Barinas,Barinas,Dominga Ortiz P,2466,1412,14,0,1,0,3893,113
Barinas,Bolivar,Altamira,1422,608,11,1,1,1,2044,34
Barinas,Bolivar,Calderas,2435,1126,16,0,2,1,3580,53
Barinas,Bolivar,Barinitas,13259,9780,114,8,10,5,23176,485
Barinas,Ezequiel Zamora,Jose Ignacio Del Pumar,994,900,5,1,1,0,1901,63
Barinas,Ezequiel Zamora,Ramon Ignacio Mendez,1015,977,4,1,0,1,1998,44
Barinas,Ezequiel Zamora,Pedro Briceno Mendez,1445,1555,12,1,2,0,3015,81
Barinas,Obispos,El Real,1513,367,8,0,1,1,1890,25
Barinas,Obispos,La Luz,2717,939,26,1,4,1,3688,51
Barinas,Obispos,Obispos,5948,2938,69,1,8,0,8964,185
Barinas,Obispos,Los Guasimitos,2979,1658,32,3,2,1,4675,104
Barinas,Pedraza,Ciudad Bolivia,11913,10661,90,1,19,2,22686,500
Barinas,Pedraza,Paez,2100,1292,30,0,6,0,3428,103
Barinas,Pedraza,Ignacio Briceno,917,949,7,0,1,0,1874,33
Barinas,Pedraza,Jose Felix Ribas,2770,1437,14,1,1,2,4225,98
Barinas,Rojas,Libertad,4198,1869,47,1,0,1,6116,143
Barinas,Rojas,Dolores,2583,1308,23,0,4,0,3918,89
Barinas,Rojas,Palacio Fajardo,4266,894,22,0,3,1,5186,72
Barinas,Rojas,Santa Rosa,3867,1327,29,1,4,2,5230,87
Barinas,Sosa,El Regalo,2156,1193,16,0,2,0,3367,51
Barinas,Sosa,Ciudad De Nutrias,4422,2461,34,1,1,0,6919,156
Barinas,Sosa,Santa Catalina,551,277,6,0,0,0,834,14
Barinas,Sosa,Puerto De Nutrias,1026,424,5,1,1,0,1457,30
Barinas,Alberto Arvelo T,Sabaneta,14025,3164,81,6,3,1,17280,399
Barinas,A Jose De Sucre,Ticoporo,15171,13182,145,6,20,7,28531,659
Barinas,A Jose De Sucre,Andres Bello,1839,1432,14,0,2,2,3289,75
Barinas,A Jose De Sucre,Nicolas Pulido,2611,1367,23,0,2,2,4005,82
Barinas,Cruz Paredes,El Socorro,1544,750,17,0,3,0,2314,55
Barinas,Cruz Paredes,Masparrito,228,67,1,0,0,1,297,3
Barinas,Andres E. Blanco,Santa Cruz De Guacas,1446,1042,24,0,1,0,2513,48
Barinas,Andres E. Blanco,El Canton,2659,1656,17,2,1,1,4336,66
Barinas,Andres E. Blanco,Puerto Vivas,1422,705,10,1,0,0,2138,53
Bolivar,Caroni,Once De Abril,29120,12230,340,10,30,12,41742,932
Bolivar,Caroni,Simon Bolivar,25390,22093,345,23,26,18,47895,929
Bolivar,Caroni,Vista Al Sol,24986,8790,265,11,24,12,34088,820
Bolivar,Caroni,Chirica,30920,12922,369,15,24,11,44261,914
Bolivar,Caroni,Universidad,7412,25225,99,12,11,4,32763,329
Bolivar,Caroni,Unare,37100,39198,410,55,44,15,76822,1108
Bolivar,Cede#O,Ascension Farreras,2717,1075,22,1,3,0,3818,85
Bolivar,Cede#O,Caicara Del Orinoco,13747,5912,84,4,22,7,19776,425
Bolivar,Cede#O,Altagracia,757,123,0,0,0,0,880,39
Bolivar,Caroni,Cachamay,9780,22249,116,21,12,5,32183,399
Bolivar,Cede#O,La Urbana,1274,386,2,0,1,1,1664,14
Bolivar,Caroni,Dalla Costa,26882,15676,303,16,30,7,42914,827
Bolivar,Cede#O,Guaniamo,386,86,0,0,0,0,472,3
Bolivar,Heres,Agua Salada,15903,13078,206,24,11,8,29230,676
Bolivar,Heres,Jose Antonio Paez,8462,4350,127,1,14,5,12959,358
Bolivar,Heres,Marhuanta,7637,4489,98,4,5,7,12240,331
Bolivar,Heres,Vista Hermosa,12744,21711,180,27,11,5,34678,579
Bolivar,Heres,La Sabanita,21902,20184,321,15,22,16,42460,921
Bolivar,Heres,Zea,716,398,5,1,0,0,1120,35
Bolivar,Piar,Upata,19918,26202,330,6,31,11,46498,1088
Bolivar,Piar,Pedro Cova,1809,1948,22,1,0,0,3780,107
Bolivar,Piar,Andres Eloy Blanco,2955,1729,38,2,1,2,4727,104
Bolivar,Roscio,Salom,515,534,6,0,1,0,1056,44
Bolivar,Sucre,Maripa,1537,927,26,0,5,0,2495,136
Bolivar,Sucre,Aripao,874,218,5,0,2,0,1099,31
Bolivar,Sucre,Las Majadas,249,201,0,0,0,0,450,18
Bolivar,Sucre,Moitaco,2207,1041,18,0,2,2,3270,80
Bolivar,Sifontes,Tumeremo,5851,6349,113,5,9,6,12333,344
Bolivar,Blvno Angostura,Ciudad Piar,4399,4260,55,4,5,1,8724,147
Bolivar,Blvno Angostura,San Francisco,2438,1166,22,0,5,1,3632,101
Bolivar,Blvno Angostura,Santa Barbara,844,598,11,1,0,1,1455,50
Bolivar,Blvno Angostura,Barceloneta,2956,2040,35,1,10,6,5048,116
Bolivar,Sifontes,San Isidro,2513,964,43,2,3,5,3530,114
Bolivar,Gran Sabana,Santa Elena De Uairen,7234,4541,105,12,23,19,11934,315
Bolivar,Gran Sabana,Ikabaru,416,285,3,0,1,1,706,15
Bolivar,El Callao,El Callao,4664,7214,68,3,3,7,11959,375
Bolivar,Padre Pedro Chien,El Palmar,4545,3738,50,1,11,10,8355,177
Carabobo,Bejuma,Bejuma,8765,8287,64,7,7,4,17134,253
Carabobo,Bejuma,Simon Bolivar,2421,2332,14,1,1,2,4771,79
Carabobo,Diego Ibarra,Aguas Calientes,21002,5764,148,11,18,8,26951,624
Carabobo,Diego Ibarra,Mariara,17288,8693,125,13,24,4,26147,560
Carabobo,Carlos Arvelo,Guigue,24870,10759,235,17,22,11,35914,861
Carabobo,Guacara,Yagua,5899,4223,41,1,7,4,10175,155
Carabobo,Montalban,Montalban,7394,5960,46,3,5,2,13410,250
Carabobo,Juan Jose Mora,Moron,25441,8948,143,20,20,25,34597,697
Carabobo,Puerto Cabello,Democracia,6914,2362,36,5,5,8,9330,201
Carabobo,Puerto Cabello,Fraternidad,3378,3443,29,3,2,4,6859,101
Carabobo,Puerto Cabello,Bartolome Salom,13691,9480,81,13,4,9,23278,426
Carabobo,Puerto Cabello,Juan Jose Flores,22427,13882,136,17,15,15,36492,648
Carabobo,Puerto Cabello,Borburata,3215,1506,26,3,2,1,4753,65
Carabobo,Puerto Cabello,Goaigoaza,15901,9103,85,15,15,2,25121,450
Carabobo,Puerto Cabello,Union,1771,1437,16,2,2,3,3231,62
Carabobo,Puerto Cabello,Patanemo,1340,790,17,0,1,0,2148,54
Carabobo,Valencia,Candelaria,9489,10176,103,18,8,8,19802,328
Carabobo,Valencia,Miguel Pena,106263,65304,1133,105,95,69,172969,3437
Carabobo,Valencia,San Blas,5916,10497,64,5,4,5,16491,246
Carabobo,Valencia,San Jose,10351,75770,172,48,19,10,86370,639
Carabobo,Valencia,Santa Rosa,23485,16580,256,33,18,17,40389,946
Carabobo,Valencia,Negro Primero,3678,548,28,2,10,5,4271,86
Carabobo,Los Guayos,U Los Guayos,48671,27536,428,47,36,19,76737,1506
Carabobo,San Diego,Urb San Diego,14289,36739,184,30,31,9,51282,555
Carabobo,Libertador,U Tocuyito,39460,23774,286,38,38,35,63631,1202
Carabobo,Libertador,U Independencia,14448,5380,99,10,27,10,19974,370
Cojedes,Anzoategui,Cojedes,2810,941,13,1,0,1,3766,90
Cojedes,Anzoategui,Juan De Mata Suarez,3927,1786,31,2,0,1,5747,192
Cojedes,Tinaquillo,Tinaquillo,32675,17416,281,22,22,23,50439,1362
Cojedes,Girardot,Sucre,1032,296,12,0,2,0,1342,15
